Departamentos,2019
Amazonas,4
Áncash,21
Apurímac,12
Arequipa,6
Ayacucho,7
Cajamarca,11
Cusco,19
Huancavelica,2
Huánuco,3
Ica,1
Junín,9
La Libertad,3
Lambayeque,5
Lima,5
Loreto,15
Madre de Dios,1
Moquegua,6
Pasco,9
Piura,10
Puno,14
San Martín,3
Tacna,1
Tumbes,1
Ucayali,2
