Departamentos,2019
Amazonas,51.4
Áncash,58.3
Apurímac,58.5
Arequipa,66.6
Ayacucho,49.1
Cajamarca,53
Cusco,70.8
Huancavelica,35.6
Huánuco,51.3
Ica,54.3
Junín,50.1
La Libertad,57.6
Lambayeque,63.4
Lima,70.3
Loreto,48.6
Madre de Dios,56.7
Moquegua,59
Pasco,73.4
Piura,53.9
Puno,52.2
San Martín,57.9
Tacna,65.2
Tumbes,45.7
Ucayali,56.3
